source,target,count,n_eligible,frequency
lineage_4,fgd1_Phe320Phe,97,100,0.97
lineage_2,mmpl5_Asp767Asn,96,100,0.96
lineage_4,mmpl5_Thr794Ile,96,100,0.96
lineage_2,rv0678_G*128C,87,100,0.87
rv0678_G*128C,fgd1_G*357C,75,100,0.75
rv1979c_C*135G,fgd1_G*357C,54,90,0.6
pepq_Ala87Gly,dlm_mic,52,100,0.52
lineage_4,fgd1_G*357C,47,100,0.47
lineage_4,rv1979c_C*135G,40,90,0.4444444444444444
lineage_2,dlm_mic,41,100,0.41
rv0678_G*128C,rv1979c_C*135G,35,90,0.3888888888888889
rv1979c_C*135G,dlm_mic,35,90,0.3888888888888889
fgd1_G*357C,rv0678_G*128C,24,100,0.24
lineage_2,pepq_Ala87Gly,21,100,0.21
fgd1_G*357C,rv1979c_C*135G,17,90,0.18888888888888888
lineage_2,rv1979c_C*135G,16,90,0.17777777777777778
rv1979c_C*135G,rv0678_G*128C,16,90,0.17777777777777778
rv0678_G*128C,dlm_mic,16,100,0.16
lineage_4,dlm_mic,12,100,0.12
fgd1_G*357C,mmpl5_Thr794Ile,10,100,0.1
fgd1_G*357C,fgd1_Phe320Phe,10,100,0.1
lineage_2,fgd1_G*357C,9,100,0.09
fgd1_G*357C,dlm_mic,9,100,0.09
mmpl5_Asp767Asn,dlm_mic,8,100,0.08
lineage_4,rv0678_G*128C,7,100,0.07
lineage_2,fgd1_Phe320Phe,4,100,0.04
lineage_2,mmpl5_Thr794Ile,4,100,0.04
rv1979c_C*135G,mmpl5_Thr794Ile,3,90,0.03333333333333333
rv1979c_C*135G,fgd1_Phe320Phe,3,90,0.03333333333333333
rv1979c_C*135G,mmpl5_Asp767Asn,2,90,0.022222222222222223
lineage_4,mmpl5_Asp767Asn,2,100,0.02
fgd1_G*357C,pepq_Ala87Gly,2,100,0.02
rv1979c_C*135G,pepq_Ala87Gly,1,90,0.011111111111111112
fgd1_Phe320Phe,rv1979c_C*135G,1,90,0.011111111111111112
pepq_Ala87Gly,mmpl5_Ile948Val,1,100,0.01
mmpl5_Ile948Val,fgd1_G*357C,1,100,0.01
lineage_4,pepq_Ala87Gly,1,100,0.01
mmpl5_Asp767Asn,rv0678_G*128C,1,100,0.01
mmpl5_Thr794Ile,dlm_mic,1,100,0.01
pepq_Ala87Gly,fgd1_G*357C,1,100,0.01
rv0678_G*128C,pepq_Ala87Gly,1,100,0.01
fgd1_Phe320Phe,dlm_mic,1,100,0.01
fgd1_Phe320Phe,mmpl5_Thr794Ile,1,100,0.01
fgd1_Phe320Phe,fgd1_G*357C,1,100,0.01
mmpl5_Asp767Asn,fgd1_G*357C,1,100,0.01
