source,target,count,n_eligible,frequency
mmpl5_Asp767Asn,lineage_2,10,10,1.0
type_beyond_MDR,dlm_mic,5,6,0.8333333333333334
type_beyond_MDR,pepq_Ala87Gly,5,6,0.8333333333333334
mmpl5_Asp767Asn,rv0678_G*128C,7,10,0.7
type_beyond_MDR,fgd1_Phe320Phe,4,6,0.6666666666666666
fgd1_G*357C,lineage_2,6,10,0.6
mmpl5_Thr794Ile,lineage_4,6,10,0.6
mmpl5_Thr794Ile,fgd1_Phe320Phe,6,10,0.6
fgd1_G*357C,rv1979c_C*135G,5,9,0.5555555555555556
mmpl5_Asp767Asn,mmpl5_Thr794Ile,5,10,0.5
fgd1_G*357C,rv0678_G*128C,5,10,0.5
rv1979c_C*135G,fgd1_G*357C,4,9,0.4444444444444444
pepq_Ala87Gly,dlm_mic,4,10,0.4
rv0678_G*128C,lineage_2,4,10,0.4
fgd1_G*357C,mmpl5_Thr794Ile,4,10,0.4
rv0678_G*128C,fgd1_G*357C,4,10,0.4
fgd1_Phe320Phe,lineage_4,4,10,0.4
fgd1_Phe320Phe,mmpl5_Thr794Ile,4,10,0.4
fgd1_Phe320Phe,mmpl5_Asp767Asn,4,10,0.4
fgd1_Phe320Phe,dlm_mic,4,10,0.4
fgd1_Phe320Phe,rv1979c_C*135G,3,9,0.3333333333333333
rv1979c_C*135G,rv0678_G*128C,3,9,0.3333333333333333
fgd1_G*357C,dlm_mic,3,10,0.3
fgd1_G*357C,mmpl5_Asp767Asn,3,10,0.3
fgd1_G*357C,pepq_Ala87Gly,3,10,0.3
fgd1_Phe320Phe,fgd1_G*357C,3,10,0.3
mmpl5_Asp767Asn,fgd1_Phe320Phe,2,10,0.2
mmpl5_Asp767Asn,dlm_mic,2,10,0.2
type_beyond_MDR,mmpl5_Thr794Ile,1,6,0.16666666666666666
type_beyond_MDR,fgd1_G*357C,1,6,0.16666666666666666
mmpl5_Thr794Ile,rv1979c_C*135G,1,9,0.1111111111111111
rv1979c_C*135G,mmpl5_Thr794Ile,1,9,0.1111111111111111
mmpl5_Asp767Asn,rv1979c_C*135G,1,9,0.1111111111111111
rv1979c_C*135G,dlm_mic,1,9,0.1111111111111111
fgd1_G*357C,lineage_4,1,10,0.1
fgd1_G*357C,fgd1_Phe320Phe,1,10,0.1
mmpl5_Thr794Ile,dlm_mic,1,10,0.1
mmpl5_Thr794Ile,rv0678_G*128C,1,10,0.1
mmpl5_Thr794Ile,mmpl5_Asp767Asn,1,10,0.1
fgd1_Phe320Phe,rv0678_G*128C,1,10,0.1
mmpl5_Thr794Ile,fgd1_G*357C,1,10,0.1
rv0678_G*128C,dlm_mic,1,10,0.1
rv0678_G*128C,mmpl5_Asp767Asn,1,10,0.1
mmpl5_Asp767Asn,lineage_4,1,10,0.1
mmpl5_Asp767Asn,fgd1_G*357C,1,10,0.1
