source,target,count,n_eligible,frequency
lineage_2,fgd1_Lys270Met,1,1,1.0
lineage_2,mmpl5_Asp767Asn,99,100,0.99
lineage_4,mmpl5_Thr794Ile,99,100,0.99
lineage_4,fgd1_Phe320Phe,99,100,0.99
lineage_2,rv0678_G*128C,92,100,0.92
rv0678_G*128C,fgd1_G*357C,76,100,0.76
rv1979c_C*135G,fgd1_G*357C,60,95,0.631578947368421
lineage_2,dlm_mic,52,100,0.52
pepq_Ala87Gly,dlm_mic,50,100,0.5
lineage_4,rv1979c_C*135G,46,95,0.4842105263157895
lineage_4,fgd1_G*357C,48,100,0.48
rv1979c_C*135G,dlm_mic,39,95,0.4105263157894737
lineage_2,rv1979c_C*135G,27,95,0.28421052631578947
fgd1_G*357C,rv1979c_C*135G,23,95,0.24210526315789474
rv0678_G*128C,rv1979c_C*135G,23,95,0.24210526315789474
fgd1_G*357C,rv0678_G*128C,24,100,0.24
rv1979c_C*135G,rv0678_G*128C,22,95,0.23157894736842105
lineage_2,pepq_Ala87Gly,22,100,0.22
fgd1_G*357C,mmpl5_Thr794Ile,14,100,0.14
fgd1_G*357C,fgd1_Phe320Phe,14,100,0.14
lineage_4,dlm_mic,13,100,0.13
rv0678_G*128C,dlm_mic,12,100,0.12
fgd1_G*357C,dlm_mic,7,100,0.07
lineage_2,fgd1_G*357C,6,100,0.06
lineage_4,pepq_Ala87Gly,5,100,0.05
lineage_4,mmpl5_Asp767Asn,4,100,0.04
mmpl5_Asp767Asn,dlm_mic,4,100,0.04
fgd1_G*357C,pepq_Ala87Gly,4,100,0.04
lineage_2,mmpl5_Thr794Ile,3,100,0.03
mmpl5_Asp767Asn,rv0678_G*128C,3,100,0.03
lineage_2,fgd1_Phe320Phe,3,100,0.03
pepq_Ala87Gly,rv1979c_C*135G,2,95,0.021052631578947368
lineage_4,rv0678_G*128C,2,100,0.02
lineage_2,mmpl5_Ile948Val,2,100,0.02
rv0678_G*128C,pepq_Ala87Gly,2,100,0.02
rv1979c_C*135G,mmpl5_Thr794Ile,1,95,0.010526315789473684
mmpl5_Thr794Ile,rv1979c_C*135G,1,95,0.010526315789473684
mmpl5_Thr794Ile,mmpl5_Asp767Asn,1,100,0.01
mmpl5_Thr794Ile,fgd1_G*357C,1,100,0.01
mmpl5_Thr794Ile,fgd1_Phe320Phe,1,100,0.01
mmpl5_Ile948Val,mmpl5_Asp767Asn,1,100,0.01
mmpl5_Asp767Asn,fgd1_G*357C,1,100,0.01
