source,target,count,n_eligible,frequency
lineage_4,fgd1_Phe320Phe,100,100,1.0
lineage_4,mmpl5_Thr794Ile,100,100,1.0
lineage_2,mmpl5_Asp767Asn,100,100,1.0
lineage_2,fgd1_Lys270Met,1,1,1.0
lineage_2,rv0678_G*128C,95,100,0.95
rv0678_G*128C,fgd1_G*357C,73,100,0.73
lineage_4,rv1979c_C*135G,61,95,0.6421052631578947
pepq_Ala87Gly,dlm_mic,61,100,0.61
lineage_4,fgd1_G*357C,58,100,0.58
rv1979c_C*135G,fgd1_G*357C,54,95,0.5684210526315789
rv0678_G*128C,rv1979c_C*135G,37,95,0.3894736842105263
mmpl5_Asp767Asn,dlm_mic,35,100,0.35
rv1979c_C*135G,dlm_mic,31,95,0.3263157894736842
fgd1_G*357C,rv0678_G*128C,26,100,0.26
rv0678_G*128C,dlm_mic,26,100,0.26
fgd1_G*357C,rv1979c_C*135G,24,95,0.25263157894736843
lineage_2,pepq_Ala87Gly,20,100,0.2
rv1979c_C*135G,rv0678_G*128C,12,95,0.12631578947368421
mmpl5_Thr794Ile,dlm_mic,11,100,0.11
fgd1_G*357C,dlm_mic,7,100,0.07
lineage_2,rv1979c_C*135G,5,95,0.05263157894736842
lineage_4,pepq_Ala87Gly,4,100,0.04
lineage_4,rv0678_G*128C,2,100,0.02
rv1979c_C*135G,fgd1_Phe320Phe,1,95,0.010526315789473684
mmpl5_Asp767Asn,rv0678_G*128C,1,100,0.01
mmpl5_Ile948Val,fgd1_G*357C,1,100,0.01
fgd1_G*357C,mmpl5_Thr794Ile,1,100,0.01
fgd1_G*357C,fgd1_Phe320Phe,1,100,0.01
lineage_2,mmpl5_Ile948Val,1,100,0.01
rv0678_G*128C,pepq_Ala87Gly,1,100,0.01
mmpl5_Asp767Asn,fgd1_G*357C,1,100,0.01
