source,target,count,n_eligible,frequency
lineage_4,mmpl5_Thr794Ile,100,100,1.0
lineage_4,fgd1_Phe320Phe,100,100,1.0
lineage_2,mmpl5_Asp767Asn,96,100,0.96
lineage_2,rv0678_G*128C,61,69,0.8840579710144928
lineage_4,fgd1_G*357C,76,94,0.8085106382978723
rv0678_G*128C,fgd1_G*357C,54,69,0.782608695652174
pepq_Ala87Gly,dlm_mic,58,100,0.58
lineage_2,dlm_mic,41,100,0.41
lineage_2,pepq_Ala87Gly,23,100,0.23
fgd1_G*357C,rv0678_G*128C,15,69,0.21739130434782608
rv0678_G*128C,dlm_mic,14,69,0.2028985507246377
lineage_4,dlm_mic,14,100,0.14
fgd1_G*357C,dlm_mic,11,94,0.11702127659574468
mmpl5_Asp767Asn,dlm_mic,9,100,0.09
lineage_2,fgd1_G*357C,8,94,0.0851063829787234
lineage_4,mmpl5_Asp767Asn,7,100,0.07
mmpl5_Asp767Asn,fgd1_G*357C,4,94,0.0425531914893617
rv0678_G*128C,pepq_Ala87Gly,2,69,0.028985507246376812
lineage_4,rv0678_G*128C,2,69,0.028985507246376812
mmpl5_Ile948Val,dlm_mic,2,100,0.02
pepq_Ala87Gly,rv0678_G*128C,1,69,0.014492753623188406
mmpl5_Asp767Asn,rv0678_G*128C,1,69,0.014492753623188406
pepq_Ala87Gly,mmpl5_Ile948Val,1,100,0.01
lineage_2,mmpl5_Thr794Ile,1,100,0.01
lineage_2,fgd1_Phe320Phe,1,100,0.01
